,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600036.SH,20220727,36.23,36.35,35.91,36.05,36.33,-0.28,-0.7707,442471.35,1597140.637
1,600036.SH,20220726,35.85,36.35,35.79,36.33,35.85,0.48,1.3389,456285.22,1651632.36
2,600036.SH,20220725,35.38,35.98,35.22,35.85,35.59,0.26,0.7305,404648.61,1447583.0
3,600036.SH,20220722,35.55,36.05,35.25,35.59,35.46,0.13,0.3666,510332.74,1817477.34
4,600036.SH,20220721,35.54,35.83,35.37,35.46,35.85,-0.39,-1.0879,466240.82,1656137.612
5,600036.SH,20220720,35.94,36.12,35.71,35.85,35.71,0.14,0.392,469688.71,1685116.916
6,600036.SH,20220719,35.5,35.85,35.2,35.71,35.63,0.08,0.2245,537813.84,1910448.534
7,600036.SH,20220718,35.15,35.84,35.01,35.63,34.87,0.76,2.1795,903080.21,3202227.202
8,600036.SH,20220715,35.1,35.96,34.86,34.87,34.96,-0.09,-0.2574,1382451.73,4872775.479
9,600036.SH,20220714,37.17,37.19,35.5,36.48,37.9,-1.42,-3.7467,2325233.74,8431357.29
10,600036.SH,20220713,39.07,39.25,37.69,37.9,39.3,-1.4,-3.5623,1410830.81,5383917.613
11,600036.SH,20220712,39.36,39.8,39.03,39.3,39.44,-0.14,-0.355,580629.88,2285703.404
12,600036.SH,20220711,39.58,39.69,39.2,39.44,39.81,-0.37,-0.9294,403754.87,1589869.33
13,600036.SH,20220708,40.2,40.22,39.63,39.81,39.75,0.06,0.1509,480361.45,1912947.04
14,600036.SH,20220707,39.8,40.17,39.55,39.75,39.8,-0.05,-0.1256,508129.21,2024650.566
15,600036.SH,20220706,40.96,41.09,39.6,39.8,40.98,-1.18,-2.8795,885266.38,3542584.702
16,600036.SH,20220705,41.46,41.67,40.76,40.98,41.05,-0.07,-0.1705,534538.41,2198036.073
17,600036.SH,20220704,41.28,41.37,40.8,41.05,41.38,-0.33,-0.7975,486917.85,2000021.774
18,600036.SH,20220701,42.38,42.38,41.21,41.38,42.2,-0.82,-1.9431,695748.15,2888674.475
19,600036.SH,20220630,41.04,42.7,40.96,42.2,41.01,1.19,2.9017,832628.23,3502837.233
20,600036.SH,20220629,41.27,41.71,40.99,41.01,41.28,-0.27,-0.6541,622804.11,2571017.815
21,600036.SH,20220628,41.1,41.42,40.9,41.28,41.25,0.03,0.0727,499163.67,2054696.486
22,600036.SH,20220627,40.33,41.36,40.15,41.25,40.2,1.05,2.6119,893408.11,3664489.439
23,600036.SH,20220624,40.27,40.59,39.66,40.2,40.14,0.06,0.1495,639950.33,2559336.619
24,600036.SH,20220623,39.32,40.21,39.32,40.14,39.31,0.83,2.1114,616029.83,2459925.121
25,600036.SH,20220622,40.4,40.47,39.3,39.31,40.33,-1.02,-2.5291,730711.87,2896990.424
26,600036.SH,20220621,39.74,40.65,39.45,40.33,39.7,0.63,1.5869,583913.88,2351462.261
27,600036.SH,20220620,39.89,40.1,39.4,39.7,39.85,-0.15,-0.3764,614206.16,2440349.614
28,600036.SH,20220617,39.84,40.17,39.27,39.85,39.96,-0.11,-0.2753,550730.77,2188790.58
29,600036.SH,20220616,40.88,40.98,39.96,39.96,40.48,-0.52,-1.2846,636883.39,2567652.086
30,600036.SH,20220615,39.19,41.1,39.19,40.48,39.24,1.24,3.16,1394894.78,5639026.274
31,600036.SH,20220614,38.2,39.3,38.11,39.24,38.57,0.67,1.7371,598362.44,2314895.047
32,600036.SH,20220613,39.56,39.56,38.34,38.57,40.12,-1.55,-3.8634,971312.16,3770847.475
33,600036.SH,20220610,39.91,40.16,39.5,40.12,40.29,-0.17,-0.4219,795393.75,3166842.6
34,600036.SH,20220609,39.5,40.6,39.41,40.29,39.53,0.76,1.9226,908607.22,3656593.721
35,600036.SH,20220608,39.36,39.6,39.02,39.53,39.35,0.18,0.4574,596930.86,2345955.707
36,600036.SH,20220607,38.96,39.5,38.67,39.35,38.97,0.38,0.9751,622726.29,2441620.703
37,600036.SH,20220606,38.85,39.03,38.1,38.97,38.92,0.05,0.1285,698702.87,2692557.419
38,600036.SH,20220602,39.3,39.43,38.74,38.92,39.69,-0.77,-1.94,547281.21,2129924.528
39,600036.SH,20220601,39.7,39.7,39.27,39.69,39.69,0.0,0.0,433834.08,1714345.935
40,600036.SH,20220531,39.05,39.75,38.8,39.69,39.07,0.62,1.5869,645403.94,2550654.577
41,600036.SH,20220530,39.5,39.5,38.79,39.07,39.12,-0.05,-0.1278,471536.67,1841958.552
42,600036.SH,20220527,38.9,39.41,38.73,39.12,38.43,0.69,1.7955,608395.89,2382330.33
43,600036.SH,20220526,39.0,39.0,38.08,38.43,38.78,-0.35,-0.9025,615429.63,2361966.487
44,600036.SH,20220525,38.98,39.1,38.64,38.78,38.9,-0.12,-0.3085,489025.4,1897867.054
45,600036.SH,20220524,39.6,39.83,38.84,38.9,39.49,-0.59,-1.494,687429.72,2695176.6
46,600036.SH,20220523,39.97,40.05,39.45,39.49,39.96,-0.47,-1.1762,618088.29,2449773.575
47,600036.SH,20220520,38.75,40.18,38.75,39.96,38.03,1.93,5.0749,1338872.44,5296502.627
48,600036.SH,20220519,37.89,38.25,37.52,38.03,38.5,-0.47,-1.2208,542010.95,2054604.084
49,600036.SH,20220518,39.0,39.08,37.9,38.5,38.6,-0.1,-0.2591,887755.39,3406772.014
50,600036.SH,20220517,37.36,38.63,37.36,38.6,36.89,1.71,4.6354,1183954.43,4517008.501
51,600036.SH,20220516,37.13,37.13,36.44,36.89,37.15,-0.26,-0.6999,644742.36,2373534.396
52,600036.SH,20220513,36.98,37.6,36.9,37.15,36.61,0.54,1.475,701300.77,2610117.535
53,600036.SH,20220512,36.8,37.06,36.43,36.61,37.21,-0.6,-1.6125,630023.11,2309969.909
54,600036.SH,20220511,36.83,37.56,36.6,37.21,36.98,0.23,0.622,872398.56,3245600.405
55,600036.SH,20220510,35.98,37.16,35.26,36.98,36.47,0.51,1.3984,1217637.35,4424738.771
56,600036.SH,20220509,37.8,37.82,36.15,36.47,37.91,-1.44,-3.7985,1252405.92,4603133.911
57,600036.SH,20220506,38.7,38.75,37.9,37.91,39.26,-1.35,-3.4386,889455.45,3392746.139
58,600036.SH,20220505,39.66,40.18,39.02,39.26,39.93,-0.67,-1.6779,944251.32,3712525.676
59,600036.SH,20220429,39.1,40.21,38.72,39.93,39.62,0.31,0.7824,1236928.61,4884561.443
60,600036.SH,20220428,38.06,40.08,37.95,39.62,38.04,1.58,4.1535,1564523.1,6124749.761
61,600036.SH,20220427,37.83,38.63,37.61,38.04,38.41,-0.37,-0.9633,1546207.95,5867256.791
62,600036.SH,20220426,38.86,39.16,37.6,38.41,38.83,-0.42,-1.0816,1454718.77,5605383.081
63,600036.SH,20220425,40.38,40.95,38.72,38.83,42.5,-3.67,-8.6353,2368745.15,9367538.01
64,600036.SH,20220422,40.66,42.97,40.65,42.5,41.28,1.22,2.9554,1195339.84,5041291.328
65,600036.SH,20220421,40.7,42.1,40.6,41.28,41.1,0.18,0.438,1143500.98,4747988.004
66,600036.SH,20220420,41.8,41.98,40.9,41.1,42.1,-1.0,-2.3753,1318268.51,5440590.528
67,600036.SH,20220419,42.0,42.75,41.4,42.1,43.39,-1.29,-2.973,2504770.22,10505571.111
68,600036.SH,20220418,45.96,45.96,42.78,43.39,46.83,-3.44,-7.3457,2366775.06,10320718.085
69,600036.SH,20220415,45.7,47.0,45.49,46.83,45.76,1.07,2.3383,423159.03,1962144.157
70,600036.SH,20220414,46.01,46.43,45.75,45.76,45.75,0.01,0.0219,326613.29,1503135.689
71,600036.SH,20220413,45.7,46.1,45.31,45.75,45.7,0.05,0.1094,448222.52,2054724.468
72,600036.SH,20220412,46.2,46.46,45.11,45.7,45.9,-0.2,-0.4357,588840.49,2691571.03
73,600036.SH,20220411,46.71,46.87,45.59,45.9,47.18,-1.28,-2.713,492611.73,2263984.281
74,600036.SH,20220408,46.7,47.18,46.6,47.18,46.86,0.32,0.6829,364234.74,1711753.064
75,600036.SH,20220407,47.35,47.59,46.58,46.86,47.39,-0.53,-1.1184,377201.07,1776370.371
76,600036.SH,20220406,46.4,47.73,46.38,47.39,47.1,0.29,0.6157,478268.55,2260412.706
77,600036.SH,20220401,46.49,47.47,46.28,47.1,46.8,0.3,0.641,476139.44,2233625.273
78,600036.SH,20220331,45.99,47.12,45.82,46.8,46.23,0.57,1.233,615884.9,2878948.597
79,600036.SH,20220330,45.36,46.3,45.35,46.23,45.01,1.22,2.7105,520722.69,2389901.32
80,600036.SH,20220329,45.15,45.55,44.91,45.01,45.05,-0.04,-0.0888,349620.89,1580213.154
81,600036.SH,20220328,44.84,45.5,44.25,45.05,45.18,-0.13,-0.2877,386458.74,1736237.601
82,600036.SH,20220325,45.71,45.95,45.0,45.18,45.77,-0.59,-1.2891,318259.36,1445681.951
83,600036.SH,20220324,45.6,46.09,45.36,45.77,45.76,0.01,0.0219,380332.34,1742027.092
84,600036.SH,20220323,45.69,45.97,45.3,45.76,45.53,0.23,0.5052,469959.84,2148515.086
85,600036.SH,20220322,45.04,45.86,44.82,45.53,44.81,0.72,1.6068,549038.3,2497185.117
86,600036.SH,20220321,45.89,45.89,44.6,44.81,46.17,-1.36,-2.9456,791032.2,3566893.332
87,600036.SH,20220318,44.6,46.17,44.02,46.17,44.51,1.66,3.7295,923585.31,4173209.905
88,600036.SH,20220317,44.15,45.17,43.67,44.51,42.58,1.93,4.5326,1319647.59,5873750.265
89,600036.SH,20220316,40.06,42.8,39.91,42.58,39.45,3.13,7.9341,1377449.32,5685452.904
90,600036.SH,20220315,41.61,41.61,39.18,39.45,42.15,-2.7,-6.4057,1313092.49,5293255.402
91,600036.SH,20220314,43.5,43.98,42.1,42.15,44.45,-2.3,-5.1744,1080465.57,4627178.709
92,600036.SH,20220311,44.5,44.79,43.1,44.45,44.7,-0.25,-0.5593,740524.88,3252533.334
93,600036.SH,20220310,45.6,45.7,44.63,44.7,44.39,0.31,0.6984,671495.83,3031093.298
94,600036.SH,20220309,45.6,45.73,43.01,44.39,45.48,-1.09,-2.3967,900431.12,4012104.662
95,600036.SH,20220308,46.56,46.77,45.2,45.48,46.76,-1.28,-2.7374,834664.64,3842685.602
96,600036.SH,20220307,48.01,48.26,46.5,46.76,48.7,-1.94,-3.9836,1014353.69,4773665.662
97,600036.SH,20220304,49.25,49.39,48.5,48.7,49.73,-1.03,-2.0712,577897.2,2818733.866
98,600036.SH,20220303,49.58,49.97,49.45,49.73,49.47,0.26,0.5256,311289.67,1546031.524
99,600036.SH,20220302,49.8,50.23,49.44,49.47,50.24,-0.77,-1.5326,397075.98,1972076.233
100,600036.SH,20220301,50.0,50.5,49.36,50.24,49.8,0.44,0.8835,406454.36,2027737.708
101,600036.SH,20220228,49.59,49.94,49.31,49.8,49.81,-0.01,-0.0201,335289.64,1662895.005
102,600036.SH,20220225,50.04,50.5,49.55,49.81,50.02,-0.21,-0.4198,451840.5,2256854.494
103,600036.SH,20220224,50.55,50.58,49.85,50.02,50.83,-0.81,-1.5935,482380.83,2418202.039
104,600036.SH,20220223,51.46,51.46,50.65,50.83,51.22,-0.39,-0.7614,374999.74,1905978.106
105,600036.SH,20220222,51.08,51.35,50.74,51.22,51.76,-0.54,-1.0433,369839.93,1887326.607
106,600036.SH,20220221,51.83,51.89,51.01,51.76,52.06,-0.3,-0.5763,313450.76,1610843.08
107,600036.SH,20220218,51.25,52.11,51.25,52.06,51.46,0.6,1.166,354390.1,1837821.806
108,600036.SH,20220217,51.27,51.98,50.92,51.46,51.07,0.39,0.7637,441570.43,2281127.847
109,600036.SH,20220216,50.56,51.36,50.23,51.07,50.22,0.85,1.6926,404955.79,2065162.806
110,600036.SH,20220215,50.95,51.38,49.95,50.22,51.2,-0.98,-1.9141,566179.03,2851170.329
111,600036.SH,20220214,52.99,52.99,51.0,51.2,52.76,-1.56,-2.9568,594051.66,3060509.962
112,600036.SH,20220211,51.82,53.0,51.65,52.76,51.71,1.05,2.0306,809932.65,4267478.082
113,600036.SH,20220210,51.9,51.9,51.0,51.71,51.62,0.09,0.1744,335542.47,1725040.529
114,600036.SH,20220209,51.9,52.34,51.28,51.62,51.71,-0.09,-0.174,512207.06,2651984.749
115,600036.SH,20220208,51.55,52.0,50.99,51.71,51.35,0.36,0.7011,528241.76,2724121.499
116,600036.SH,20220207,50.3,51.5,50.13,51.35,49.21,2.14,4.3487,732349.13,3741572.656
117,600036.SH,20220128,51.05,51.2,49.15,49.21,50.77,-1.56,-3.0727,715144.11,3576839.774
118,600036.SH,20220127,50.9,51.18,50.12,50.77,51.0,-0.23,-0.451,529400.57,2687973.691
119,600036.SH,20220126,51.25,51.49,50.6,51.0,50.9,0.1,0.1965,436696.28,2226767.107
120,600036.SH,20220125,51.55,51.79,50.7,50.9,51.85,-0.95,-1.8322,583512.89,2987207.43
121,600036.SH,20220124,51.95,52.0,51.03,51.85,51.82,0.03,0.0579,638155.2,3288272.324
122,600036.SH,20220121,51.39,52.0,51.21,51.82,51.37,0.45,0.876,858080.94,4439219.181
123,600036.SH,20220120,49.88,51.89,49.88,51.37,49.7,1.67,3.3602,1386248.71,7089347.716
124,600036.SH,20220119,49.47,49.98,49.11,49.7,49.01,0.69,1.4079,620280.26,3078947.655
125,600036.SH,20220118,48.65,49.34,48.28,49.01,48.58,0.43,0.8851,579077.08,2835126.315
126,600036.SH,20220117,48.37,48.85,47.89,48.58,48.02,0.56,1.1662,531807.61,2574842.95
127,600036.SH,20220114,49.47,49.47,48.0,48.02,49.34,-1.32,-2.6753,666570.98,3218203.4
128,600036.SH,20220113,49.85,50.05,49.12,49.34,49.76,-0.42,-0.8441,401407.54,1989903.367
129,600036.SH,20220112,49.87,50.1,49.19,49.76,49.85,-0.09,-0.1805,518411.18,2574764.177
130,600036.SH,20220111,49.49,50.1,48.89,49.85,49.23,0.62,1.2594,715617.48,3558651.499
131,600036.SH,20220110,49.47,50.0,48.91,49.23,49.05,0.18,0.367,570936.34,2818145.071
132,600036.SH,20220107,48.14,49.14,48.04,49.05,48.15,0.9,1.8692,660737.05,3219523.408
133,600036.SH,20220106,48.82,49.39,48.1,48.15,49.05,-0.9,-1.8349,681866.64,3299825.727
134,600036.SH,20220105,48.49,49.68,48.4,49.05,48.35,0.7,1.4478,837173.75,4114524.304
135,600036.SH,20220104,48.71,48.71,47.51,48.35,48.71,-0.36,-0.7391,719606.45,3452352.17
